"Hulii","Hulii"
"Remove from compare","Remove from compare"
"Resetting the password ... ","Resetting the password ... "
"Error while sending reset password e-mail","Error while sending reset password e-mail"
"Authorization in progress ...","Authorization in progress ..."
"You have been successfully subscribed to our newsletter!","You have been successfully subscribed to our newsletter!"
"Everything new","Everything new"
"Get inspired","Get inspired"
"Size guide","Size guide"
"Add to favorite","Add to favorite"
"Add to compare","Add to compare"
"Product details","Product details"
"Filters","Filters"
"My account","My account"
"My Account","My Account"
"Logout","Logout"
"Enter your email to receive instructions on how to reset your password.","Enter your email to receive instructions on how to reset your password."
"Reset password","Reset password"
"or","or"
"return to log in","return to log in"
"Back to login","Back to login"
"We've sent password reset instructions to your email. Check your inbox and follow the link.","We've sent password reset instructions to your email. Check your inbox and follow the link."
"Log in","Log in"
"Remember me","Remember me"
"Forgot the password?","Forgot the password?"
"Log in to your account","Log in to your account"
"You must accept the terms and conditions.","You must accept the terms and conditions."
"Register","Register"
"register an account","register an account"
"Register an account","Register an account"
"login to your account","login to your account"
"Filter","Filter"
"Clear filters","Clear filters"
"color_filter","Color"
"size_filter","Size"
"price_filter","Price"
"Price","Price"
"Order Summary","Order Summary"
"Safety","Safety"
"Shipping","Shipping"
"Payment","Payment"
"Returns","Returns"
"Review order","Review order"
"Please check if all data are correct","Please check if all data are correct"
"I agree to","I agree to"
"Terms and conditions","Terms and conditions"
"Place the order","Place the order"
"Edit payment","Edit payment"
"We will send you the invoice to given e-mail address","We will send you the invoice to given e-mail address"
"Payment method","Payment method"
"Go review the order","Go review the order"
"Phone number may be needed by carrier","Phone number may be needed by carrier"
"Personal Details","Personal Details"
"Edit personal details","Edit personal details"
"Continue to shipping","Continue to shipping"
"We will send you details regarding the order","We will send you details regarding the order"
"The new account will be created with the purchase. You will receive details on e-mail.","The new account will be created with the purchase. You will receive details on e-mail."
"Qty","Qty"
"Edit shipping","Edit shipping"
"Ship to my default address","Ship to my default address"
"Shipping method","Shipping method"
"Continue to payment","Continue to payment"
"Departments","Departments"
"Women fashion","Women fashion"
"Men's fashion","Men's fashion"
"Kidswear","Kidswear"
"Home","Home"
"Orders","Orders"
"Track my order","Track my order"
"Delivery","Delivery"
"Return policy","Return policy"
"Customer service","Customer service"
"Contact us","Contact us"
"About us","About us"
"Price: High to low","Price: High to low"
"Price: Low to high","Price: Low to high"
"Clear","Clear"
"About us (Magento CMS)","About us (Magento CMS)"
"Store locator","Store locator"
"Legal notice","Legal notice"
"Privacy policy","Privacy policy"
"Subscribe to the newsletter and receive a coupon for 10% off","Subscribe to the newsletter and receive a coupon for 10% off"
"Subscribe","Subscribe"
"Return to shopping","Return to shopping"
"Login to your account","Login to your account"
"You are logged in as","You are logged in as"
"Edit","Edit"
"Shopping cart","Shopping cart"
"Clear cart","Clear cart"
"Your shopping cart is empty.","Your shopping cart is empty."
"Don't hesitate and","Don't hesitate and"
"browse our catalog","browse our catalog"
"to find something beautiful for You!","to find something beautiful for You!"
"Shopping summary","Shopping summary"
"Go to checkout","Go to checkout"
"Remove","Remove"
"My newsletter","My newsletter"
"Edit newsletter preferences","Edit newsletter preferences"
"General agreement","General agreement"
"Cancel","Cancel"
"Update my preferences","Update my preferences"
"My profile","My profile"
"Edit your profile","Edit your profile"
"Update my profile","Update my profile"
"My shipping details","My shipping details"
"Edit your shipping details","Edit your shipping details"
"Update my shipping details","Update my shipping details"
"Country","Country"
"Similar products","Similar products"
"We found other products you might like","We found other products you might like"
"No results were found.","No results were found."
"Searched term should consist of at least 3 characters.","Searched term should consist of at least 3 characters."
"Magazine","Magazine"
"Sale","Sale"
"My orders","My orders"
"My loyalty card","My loyalty card"
"My product reviews","My product reviews"
"Wishlist","Wishlist"
"Clear wishlist","Clear wishlist"
"Your wishlist is empty.","Your wishlist is empty."
"Add to cart","Add to cart"
"Select color ","Select color "
"See details","See details"
"We use cookies to give you the best shopping experience.","We use cookies to give you the best shopping experience."
"Newsletter","Newsletter"
"Sign up to our newsletter and receive a coupon for 10% off!","Sign up to our newsletter and receive a coupon for 10% off!"
"Quantity","Quantity"
"Price ","Price "
"Select size ","Select size "
"You have no items to compare.","You have no items to compare."
"New Luma Yoga Collection","New Luma Yoga Collection"
"We can't find the page","We can't find the page"
"Unfortunately we can't find the page you are looking for.","Unfortunately we can't find the page you are looking for."
"If you need an assistance you can drop us a line on","If you need an assistance you can drop us a line on"
"a chat","a chat"
"or write to us through","or write to us through"
"a contact page","a contact page"
"You can also use","You can also use"
"search","search"
"to find product you were looking for.","to find product you were looking for."
"See our bestsellers","See our bestsellers"
"You are offline, some of the functionalities are limited","You are offline, some of the functionalities are limited"
"Search","Search"
"Help","Help"
"Go to Facebook","Go to Facebook"
"Go to Instagram","Go to Instagram"
"Go to Pinterest","Go to Pinterest"
"Go to Youtube","Go to Youtube"
"I accept ","I accept "
"Use my billing data","Use my billing data"
"I want to generate an invoice for the company","I want to generate an invoice for the company"
"Field is required","Field is required"
"Name must have at least 2 letters.","Name must have at least 2 letters."
"Name must have at least 3 letters.","Name must have at least 3 letters."
"Zip-code must have at least 3 letters.","Zip-code must have at least 3 letters."
"I want to create an account'","I want to create an account'"
"Copy address data from shipping","Copy address data from shipping"
"Tax identification number must have at least 3 letters.","Tax identification number must have at least 3 letters."
"Please provide valid e-mail address.","Please provide valid e-mail address."
"Use my company's address details","Use my company's address details"
"Passwords must be identical","Passwords must be identical"
"E-mail address *","E-mail address *"
"Password *","Password *"
"First name","First name"
"items","items"
"Last name","Last name"
"Email address","Email address"
"Change my password","Change my password"
"I have a company and want to receive an invoice for every order","I have a company and want to receive an invoice for every order"
"Company name *","Company name *"
"Street name *","Street name *"
"House/Apartment number *","House/Apartment number *"
"City *","City *"
"Zip-code *","Zip-code *"
"Tax ID *","Tax ID *"
"State / Province","State / Province"
"City","City"
"Phone Number","Phone Number"
"House/Apartment number","House/Apartment number"
"Street name","Street name"
"Zip-code","Zip-code"
"Current password *","Current password *"
"New password *","New password *"
"Repeat new password *","Repeat new password *"
"Passwords must be identical.","Passwords must be identical."
"First name *","First name *"
"Last name *","Last name *"
"Repeat password *","Repeat password *"
"Email address *","Email address *"
"I want to create an account","I want to create an account"
"Tax identification number *","Tax identification number *"
"No products found!","No products found!"
"Please change Your search criteria and try again. If still not finding anything relevant, please visit the Home page and try out some of our bestsellers!","Please change Your search criteria and try again. If still not finding anything relevant, please visit the Home page and try out some of our bestsellers!"
